"data","manancial","volume armazenado","pluviometria do dia","pluviometria acumulada no mês","média histórica do mês"
"2003-2-10","sistemaRioGrande","90,9 %","0,0 mm","5,2 mm","210,0 mm"
"2003-2-10","sistemaRioClaro","71,1 %","0,3 mm","17,4 mm","252,3 mm"
"2003-2-11","sistemaCantareira","63,4 %","0,3 mm","19,0 mm","214,2 mm"
"2003-2-11","sistemaAltoTiete","45,2 %","1,0 mm","59,3 mm","210,0 mm"
"2003-2-11","sistemaGuarapiranga","48,7 %","2,4 mm","38,8 mm","196,8 mm"
"2003-2-11","sistemaCotia","52,8 %","0,0 mm","44,4 mm","192,0 mm"
"2003-2-11","sistemaRioGrande","89,8 %","0,0 mm","5,2 mm","210,0 mm"
"2003-2-11","sistemaRioClaro","70,8 %","1,3 mm","18,7 mm","252,3 mm"
"2003-2-12","sistemaCantareira","63,4 %","0,0 mm","19,0 mm","214,2 mm"
"2003-2-12","sistemaAltoTiete","44,9 %","2,6 mm","61,9 mm","210,0 mm"
"2003-2-12","sistemaGuarapiranga","48,5 %","0,0 mm","38,8 mm","196,8 mm"
"2003-2-12","sistemaCotia","52,5 %","0,0 mm","44,4 mm","192,0 mm"
"2003-2-12","sistemaRioGrande","89,0 %","7,6 mm","12,8 mm","210,0 mm"
"2003-2-12","sistemaRioClaro","70,6 %","0,0 mm","18,7 mm","252,3 mm"
"2003-2-13","sistemaCantareira","63,2 %","1,4 mm","20,3 mm","214,2 mm"
"2003-2-13","sistemaAltoTiete","44,9 %","9,5 mm","71,4 mm","210,0 mm"
"2003-2-13","sistemaGuarapiranga","48,3 %","1,0 mm","39,8 mm","196,8 mm"
"2003-2-13","sistemaCotia","52,5 %","8,7 mm","53,1 mm","192,0 mm"
"2003-2-13","sistemaRioGrande","89,5 %","12,7 mm","25,5 mm","210,0 mm"
"2003-2-13","sistemaRioClaro","70,4 %","0,0 mm","18,7 mm","252,3 mm"
"2003-2-14","sistemaCantareira","63,6 %","13,7 mm","34,0 mm","214,2 mm"
"2003-2-14","sistemaAltoTiete","45,1 %","19,7 mm","91,1 mm","210,0 mm"
"2003-2-14","sistemaGuarapiranga","48,5 %","16,8 mm","56,6 mm","196,8 mm"
"2003-2-14","sistemaCotia","52,8 %","19,2 mm","72,3 mm","192,0 mm"
"2003-2-14","sistemaRioGrande","92,2 %","19,2 mm","44,7 mm","210,0 mm"
"2003-2-14","sistemaRioClaro","70,0 %","0,0 mm","18,7 mm","252,3 mm"
"2003-2-15","sistemaCantareira","63,6 %","2,6 mm","36,6 mm","214,2 mm"
"2003-2-15","sistemaAltoTiete","45,8 %","3,0 mm","94,1 mm","210,0 mm"
"2003-2-15","sistemaGuarapiranga","48,6 %","3,2 mm","59,8 mm","196,8 mm"
"2003-2-15","sistemaCotia","53,3 %","6,9 mm","79,2 mm","192,0 mm"
"2003-2-15","sistemaRioGrande","93,4 %","1,5 mm","46,2 mm","210,0 mm"
"2003-2-15","sistemaRioClaro","69,8 %","7,5 mm","26,2 mm","252,3 mm"
"2003-2-16","sistemaCantareira","63,8 %","8,3 mm","45,0 mm","214,2 mm"
"2003-2-16","sistemaAltoTiete","46,2 %","9,0 mm","103,1 mm","210,0 mm"
"2003-2-16","sistemaGuarapiranga","48,6 %","0,0 mm","59,8 mm","196,8 mm"
"2003-2-16","sistemaCotia","53,4 %","5,7 mm","84,9 mm","192,0 mm"
"2003-2-16","sistemaRioGrande","93,4 %","0,4 mm","46,6 mm","210,0 mm"
"2003-2-16","sistemaRioClaro","70,2 %","6,1 mm","32,3 mm","252,3 mm"
"2003-2-17","sistemaCantareira","63,8 %","3,4 mm","48,3 mm","214,2 mm"
"2003-2-17","sistemaAltoTiete","46,3 %","1,8 mm","104,9 mm","210,0 mm"
"2003-2-17","sistemaGuarapiranga","48,6 %","2,0 mm","61,8 mm","196,8 mm"
"2003-2-17","sistemaCotia","53,8 %","20,2 mm","105,1 mm","192,0 mm"
"2003-2-17","sistemaRioGrande","92,4 %","0,3 mm","46,9 mm","210,0 mm"
"2003-2-17","sistemaRioClaro","69,4 %","3,2 mm","35,5 mm","252,3 mm"
"2003-2-18","sistemaCantareira","64,7 %","40,6 mm","89,0 mm","214,2 mm"
"2003-2-18","sistemaAltoTiete","46,9 %","21,1 mm","126,1 mm","210,0 mm"
